slice,roi_mae,roi_rmse,roi_psnr,roi_ssim,full_mae,full_rmse,full_psnr,full_ssim,cbct_roi_mae,roi_n
slice_0135,71.3833,136.2658,29.5063,0.8487,41.5299,105.3979,31.7374,0.8967,199.9176,37102
slice_0136,68.9286,137.1228,29.4518,0.8472,40.1185,106.0071,31.6873,0.8954,198.6620,37076
slice_0137,65.1157,129.1479,29.9723,0.8601,37.9054,100.1161,32.1839,0.9049,199.2690,37041
slice_0138,57.5795,118.7300,30.7028,0.8801,33.6179,92.4427,32.8766,0.9173,199.8328,37027
slice_0139,64.0865,124.3046,30.3043,0.8689,37.2735,96.4236,32.5104,0.9102,199.1671,37012
slice_0140,60.2505,123.0660,30.3913,0.8707,35.0860,95.5059,32.5934,0.9117,198.8488,36986
slice_0141,62.6609,128.9446,29.9860,0.8556,36.4235,99.7450,32.2162,0.9017,198.0543,36952
slice_0142,58.1780,116.5686,30.8624,0.8668,33.8774,90.7065,33.0413,0.9087,197.5853,36933
slice_0143,53.1745,112.5969,31.1635,0.8823,31.0320,87.7489,33.3292,0.9188,194.6405,36916
slice_0144,55.0520,108.7163,31.4681,0.8600,32.0460,84.8142,33.6246,0.9042,193.1555,36883
slice_0145,53.3302,113.9704,31.0582,0.8795,31.0470,88.5390,33.2513,0.9167,193.8803,36867
slice_0146,52.5278,105.5494,31.7249,0.8745,30.5825,82.4566,33.8695,0.9130,194.8313,36862
slice_0147,48.1794,101.9948,32.0225,0.8988,28.1109,79.8990,34.1432,0.9294,196.6389,36841
slice_0148,48.8993,105.2777,31.7473,0.8981,28.4997,82.2186,33.8946,0.9290,198.3956,36827
slice_0149,49.3176,103.3277,31.9097,0.8788,28.7384,80.8888,34.0363,0.9160,199.9413,36804
slice_0150,49.4711,108.3676,31.4960,0.8866,28.8339,84.7157,33.6347,0.9211,201.4972,36760
slice_0151,49.4565,106.8836,31.6158,0.8860,28.7922,83.6977,33.7398,0.9210,202.8873,36692
slice_0152,58.6841,117.9403,30.7608,0.8695,33.9006,91.6676,32.9497,0.9102,201.3374,36639
slice_0153,50.7968,111.2484,31.2681,0.8887,29.4462,86.9521,33.4084,0.9228,197.5795,36562
slice_0154,53.0600,108.1625,31.5125,0.8794,30.6529,84.6762,33.6388,0.9170,196.2120,36501
slice_0155,50.1980,112.4310,31.1763,0.8830,29.0071,87.6258,33.3414,0.9202,195.2768,36447
slice_0156,45.7532,98.8178,32.2973,0.8978,26.5066,78.0722,34.3441,0.9300,194.9023,36388
slice_0157,47.6013,101.6562,32.0513,0.9026,30.5826,81.4851,33.9725,0.9197,209.4541,42058
slice_0158,47.3102,100.5527,32.1462,0.9012,30.3811,80.5821,34.0692,0.9188,207.4675,42037
slice_0159,46.2589,100.7383,32.1301,0.9082,29.7003,80.7333,34.0530,0.9249,204.9056,42025
slice_0160,54.3501,114.6874,31.0037,0.8762,34.8707,91.8691,32.9306,0.8988,205.4844,42004
slice_0161,49.6531,112.8368,31.1450,0.8926,31.8435,90.3584,33.0746,0.9118,208.0943,41982
slice_0162,46.8555,99.9389,32.1993,0.8950,30.0475,80.0355,34.1284,0.9136,209.5760,41972
slice_0163,43.9095,95.7997,32.5667,0.9113,28.1323,76.6973,34.4984,0.9274,210.1678,41927
slice_0164,44.0644,99.4109,32.2453,0.9027,28.1870,79.5325,34.1831,0.9212,209.9447,41860
slice_0165,47.5918,105.6969,31.7128,0.9066,30.4082,84.5004,33.6569,0.9227,207.6720,41813
slice_0166,42.8306,99.0256,32.2791,0.9197,27.3226,79.1138,34.2290,0.9334,205.8688,41736
slice_0167,53.3049,107.4020,31.5738,0.8958,33.9521,85.7266,33.5317,0.9156,208.5359,41695
slice_0168,49.1084,108.7789,31.4631,0.8924,31.2400,86.7590,33.4277,0.9129,210.6268,41642
slice_0169,46.9019,107.0689,31.6008,0.9102,29.7922,85.3315,33.5718,0.9271,209.8944,41580
